攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-5,0.75,1690.179,1689.646,0.74973,0.2,1
-4.946,0.75,1690.319,1689.47,0.74964,0.2,1
-4.846,0.75,1690.342,1689.47,0.74972,0.2,1
-4.75,0.75,1689.781,1690.13,0.74982,0.2,1
-4.65,0.75,1689.205,1690.13,0.74986,0.2,1
-4.55,0.75,1688.369,1690.13,0.75027,0.2,1
-4.45,0.75,1687.669,1689.8,0.75046,0.2,1
-4.35,0.75,1686.705,1689.09,0.75076,0.2,1
-4.25,0.75,1685.904,1689.09,0.75096,0.2,1
-4.15,0.75,1685.069,1689.09,0.75115,0.2,1
-4.046,0.75,1684.105,1689.09,0.7514,0.2,1
-3.948,0.75,1683.105,1685.57,0.7516,0.2,1
-3.848,0.75,1682.091,1685.57,0.75175,0.2,1
-3.744,0.75,1681.077,1685.57,0.75187,0.2,1
-3.644,0.75,1680.076,1681.78,0.75178,0.2,1
-3.544,0.75,1679.177,1680.41,0.75154,0.2,1
-3.442,0.75,1678.377,1680.41,0.75124,0.2,1
-3.348,0.75,1677.577,1678.16,0.75104,0.2,1
-3.246,0.75,1676.777,1677.28,0.75093,0.2,1
-3.144,0.75,1675.963,1676.56,0.75091,0.2,1
-3.044,0.75,1675.177,1676.56,0.75073,0.2,1
-2.95,0.75,1674.477,1674.7,0.75061,0.2,1
-2.854,0.75,1673.831,1674.7,0.75023,0.2,1
-2.754,0.75,1673.539,1674.7,0.75007,0.2,1
-2.652,0.75,1673.311,1672.5,0.74977,0.2,1
-2.55,0.75,1673.031,1672,0.74969,0.2,1
-2.452,0.75,1672.83,1672.17,0.74943,0.2,1
-2.352,0.75,1672.639,1671.73,0.74934,0.2,1
-2.254,0.75,1672.231,1671.78,0.74936,0.2,1
-2.15,0.75,1672.119,1671.78,0.74934,0.2,1
-2.052,0.75,1671.831,1671.13,0.74925,0.2,1
-1.954,0.75,1671.619,1671.13,0.74926,0.2,1
-1.852,0.75,1671.251,1671.13,0.74938,0.2,1
-1.752,0.75,1670.957,1670.8,0.74952,0.2,1
-1.65,0.75,1670.645,1670.63,0.74961,0.2,1
-1.552,0.75,1670.511,1670.52,0.74958,0.2,1
-1.454,0.75,1670.217,1670.52,0.74969,0.2,1
-1.346,0.75,1669.751,1670.8,0.74988,0.2,1
-1.25,0.75,1669.457,1670.36,0.75001,0.2,1
-1.148,0.75,1669.051,1670.36,0.7501,0.2,1
-1.05,0.75,1668.745,1670.36,0.75013,0.2,1
-0.95,0.75,1668.457,1670.36,0.75005,0.2,1
-0.85,0.75,1668.185,1668.93,0.75001,0.2,1
-0.75,0.75,1668.083,1668.1,0.74998,0.2,1
-0.65,0.75,1668.085,1667.45,0.74987,0.2,1
-0.546,0.75,1668.085,1667.45,0.74975,0.2,1
-0.448,0.75,1667.985,1667.45,0.7498,0.2,1
-0.352,0.75,1667.981,1667.45,0.74959,0.2,1
-0.25,0.75,1668.083,1667.01,0.74955,0.2,1
-0.152,0.75,1668.083,1667.01,0.74948,0.2,1
-0.046,0.75,1668.085,1667.01,0.74946,0.2,1
0.048,0.75,1667.981,1667.12,0.7496,0.2,1
0.154,0.75,1668.001,1667.12,0.74959,0.2,1
0.254,0.75,1668.001,1667.12,0.74965,0.2,1
0.35,0.75,1668.101,1667.12,0.74964,0.2,1
0.446,0.75,1668.101,1667.72,0.74974,0.2,1
0.55,0.75,1668.101,1668.05,0.74973,0.2,1
0.65,0.75,1668.101,1668.05,0.74986,0.2,1
0.748,0.75,1668.101,1668.05,0.74997,0.2,1
0.848,0.75,1668.101,1668.43,0.74995,0.2,1
0.952,0.75,1668.001,1668.1,0.75001,0.2,1
1.046,0.75,1668.001,1668.32,0.75005,0.2,1
1.146,0.75,1668.001,1668.21,0.75006,0.2,1
1.248,0.75,1668.001,1668.21,0.75003,0.2,1
1.348,0.75,1668.101,1668.21,0.74994,0.2,1
1.45,0.75,1668.101,1668.27,0.74998,0.2,1
1.55,0.75,1668.101,1668.27,0.7499,0.2,1
1.65,0.75,1668.101,1668.27,0.74989,0.2,1
1.748,0.75,1668.201,1668.21,0.7498,0.2,1
1.846,0.75,1668.301,1668.21,0.74958,0.2,1
1.956,0.75,1668.501,1668.16,0.74944,0.2,1
2.054,0.75,1668.701,1667.72,0.74938,0.2,1
2.154,0.75,1668.889,1667.83,0.74921,0.2,1
2.252,0.75,1669.573,1668.32,0.74912,0.2,1
2.35,0.75,1670.189,1668.27,0.74895,0.2,1
2.454,0.75,1670.781,1668.27,0.74889,0.2,1
2.552,0.75,1671.373,1668.54,0.74889,0.2,1
2.656,0.75,1671.989,1669.53,0.74903,0.2,1
2.754,0.75,1672.481,1670.3,0.74912,0.2,1
2.854,0.75,1672.981,1670.3,0.74925,0.2,1
2.954,0.75,1673.388,1671.35,0.74946,0.2,1
3.056,0.75,1673.797,1672.61,0.74958,0.2,1
3.154,0.75,1674.189,1673.16,0.74973,0.2,1
3.254,0.75,1674.597,1673.16,0.74979,0.2,1
3.358,0.75,1674.989,1673.16,0.74985,0.2,1
3.454,0.75,1675.289,1675.14,0.75013,0.2,1
3.554,0.75,1675.573,1675.74,0.75025,0.2,1
3.65,0.75,1675.873,1675.74,0.75032,0.2,1
3.758,0.75,1676.173,1675.74,0.75041,0.2,1
