攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-4,0.95,1977.017,1976.78,0.95008,0.2,1.166666667
-3.993,0.95,1977.392,1976.55,0.94985,0.2,1.166666667
-3.91,0.95,1977.292,1976.44,0.94992,0.2,1.166666667
-3.81,0.95,1976.882,1976.38,0.94997,0.2,1.166666667
-3.71,0.95,1975.447,1976.38,0.95015,0.2,1.166666667
-3.61,0.95,1973.97,1976.77,0.95052,0.2,1.166666667
-3.508,0.95,1972.392,1976.6,0.95081,0.2,1.166666667
-3.408,0.95,1970.97,1975.56,0.95096,0.2,1.166666667
-3.308,0.95,1969.748,1975.56,0.95094,0.2,1.166666667
-3.208,0.95,1968.369,1975.56,0.95113,0.2,1.166666667
-3.11,0.95,1967.092,1975.56,0.95109,0.2,1.166666667
-3.012,0.95,1965.592,1969.02,0.95125,0.2,1.166666667
-2.908,0.95,1964.17,1969.02,0.95128,0.2,1.166666667
-2.812,0.95,1963.23,1969.02,0.95111,0.2,1.166666667
-2.712,0.95,1962.729,1969.02,0.95085,0.2,1.166666667
-2.608,0.95,1962.029,1962.32,0.95071,0.2,1.166666667
-2.51,0.95,1961.33,1960.78,0.95068,0.2,1.166666667
-2.41,0.95,1960.715,1959.3,0.95051,0.2,1.166666667
-2.308,0.95,1960.33,1959.3,0.95022,0.2,1.166666667
-2.212,0.95,1959.829,1959.3,0.95002,0.2,1.166666667
-2.108,0.95,1959.429,1957.54,0.94978,0.2,1.166666667
-2.01,0.95,1958.829,1957.43,0.94976,0.2,1.166666667
-1.91,0.95,1958.13,1957.43,0.94983,0.2,1.166666667
-1.81,0.95,1957.55,1956.72,0.94986,0.2,1.166666667
-1.708,0.95,1957.057,1956.72,0.9499,0.2,1.166666667
-1.608,0.95,1956.649,1956.72,0.94998,0.2,1.166666667
-1.51,0.95,1956.141,1956.44,0.95001,0.2,1.166666667
-1.41,0.95,1955.65,1955.89,0.95007,0.2,1.166666667
-1.31,0.95,1955.15,1955.89,0.95016,0.2,1.166666667
-1.212,0.95,1954.542,1956.06,0.95026,0.2,1.166666667
-1.11,0.95,1954.05,1956.06,0.95037,0.2,1.166666667
-1.01,0.95,1953.441,1956.06,0.95048,0.2,1.166666667
-0.908,0.95,1952.85,1954.19,0.95057,0.2,1.166666667
-0.812,0.95,1952.638,1954.19,0.95051,0.2,1.166666667
-0.71,0.95,1952.642,1954.19,0.95042,0.2,1.166666667
-0.608,0.95,1952.94,1954.19,0.95035,0.2,1.166666667
-0.51,0.95,1952.94,1951.55,0.95028,0.2,1.166666667
-0.41,0.95,1953.142,1951.66,0.95027,0.2,1.166666667
-0.308,0.95,1953.34,1951.66,0.95013,0.2,1.166666667
-0.21,0.95,1953.44,1951.66,0.95008,0.2,1.166666667
-0.11,0.95,1953.539,1951.39,0.95009,0.2,1.166666667
-0.008,0.95,1953.644,1952.16,0.95005,0.2,1.166666667
0,0.95,1918.449,1947.457,0.95799,0.2,1.166666667
0.019,0.95,1919.715,1982.09,0.9665,0.2,1.166666667
0.09,0.95,1953.84,1952.27,0.95012,0.2,1.166666667
0.19,0.95,1953.742,1952.1,0.95022,0.2,1.166666667
0.21,0.95,1924.025,1984.73,0.96559,0.2,1.166666667
0.29,0.95,1953.644,1952.1,0.95031,0.2,1.166666667
0.39,0.95,1953.64,1953.09,0.95038,0.2,1.166666667
0.49,0.95,1953.54,1953.2,0.9505,0.2,1.166666667
0.59,0.95,1953.542,1953.75,0.95051,0.2,1.166666667
0.663,0.95,1932.944,2003.13,0.96412,0.2,1.166666667
0.69,0.95,1953.342,1953.8,0.95066,0.2,1.166666667
0.796,0.95,1953.242,1954.08,0.95075,0.2,1.166666667
0.898,0.95,1953.138,1953.75,0.95076,0.2,1.166666667
0.996,0.95,1953.238,1953.75,0.95071,0.2,1.166666667
1.096,0.95,1953.339,1953.8,0.95064,0.2,1.166666667
1.196,0.95,1953.651,1953.8,0.95052,0.2,1.166666667
1.296,0.95,1954.24,1953.8,0.95051,0.2,1.166666667
1.358,0.95,1944.766,2003.13,0.96226,0.2,1.166666667
1.394,0.95,1954.84,1953.8,0.95042,0.2,1.166666667
1.496,0.95,1955.439,1953.09,0.95037,0.2,1.166666667
1.598,0.95,1955.951,1953.36,0.95037,0.2,1.166666667
1.694,0.95,1956.54,1953.53,0.95036,0.2,1.166666667
1.794,0.95,1957.24,1954.9,0.95023,0.2,1.166666667
1.894,0.95,1957.84,1955.23,0.95024,0.2,1.166666667
1.994,0.95,1958.339,1955.23,0.95032,0.2,1.166666667
2.092,0.95,1958.739,1955.23,0.95041,0.2,1.166666667
2.194,0.95,1959.244,1957.37,0.95061,0.2,1.166666667
2.264,0.95,1956.026,2006.48,0.96015,0.2,1.166666667
2.292,0.95,1959.66,1958.25,0.95078,0.2,1.166666667
2.396,0.95,1960.176,1958.25,0.95092,0.2,1.166666667
2.494,0.95,1960.86,1958.25,0.95089,0.2,1.166666667
2.592,0.95,1961.459,1958.25,0.9509,0.2,1.166666667
2.694,0.95,1962.144,1961.05,0.9509,0.2,1.166666667
2.788,0.95,1962.76,1961.05,0.95093,0.2,1.166666667
