攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-5,0.85,1843.917,1843.51,0.84994,0.1,1.166666667
-4.978,0.85,1843.798,1843.45,0.85032,0.1,1.166666667
-4.929,0.85,1843.692,1843.72,0.85031,0.1,1.166666667
-4.877,0.85,1843.307,1843.67,0.8503,0.1,1.166666667
-4.827,0.85,1842.658,1843.5,0.85034,0.1,1.166666667
-4.778,0.85,1842.016,1843.39,0.85058,0.1,1.166666667
-4.728,0.85,1841.266,1843.39,0.85098,0.1,1.166666667
-4.677,0.85,1840.499,1843.39,0.85106,0.1,1.166666667
-4.627,0.85,1839.857,1841.85,0.85111,0.1,1.166666667
-4.575,0.85,1839.116,1841.85,0.85108,0.1,1.166666667
-4.523,0.85,1838.367,1841.85,0.85116,0.1,1.166666667
-4.473,0.85,1837.817,1839.6,0.85107,0.1,1.166666667
-4.422,0.85,1837.148,1838.83,0.85112,0.1,1.166666667
-4.372,0.85,1836.599,1837.73,0.85079,0.1,1.166666667
-4.324,0.85,1836.066,1837.73,0.8506,0.1,1.166666667
-4.274,0.85,1835.69,1836.31,0.85041,0.1,1.166666667
-4.223,0.85,1835.357,1835.04,0.85018,0.1,1.166666667
-4.173,0.85,1834.908,1834.82,0.85019,0.1,1.166666667
-4.127,0.85,1834.349,1834.11,0.85017,0.1,1.166666667
-4.08,0.85,1833.998,1833.89,0.84999,0.1,1.166666667
-4.028,0.85,1833.749,1833.34,0.84974,0.1,1.166666667
-3.976,0.85,1833.418,1833.34,0.84967,0.1,1.166666667
-3.929,0.85,1832.939,1832.79,0.84974,0.1,1.166666667
-3.879,0.85,1832.548,1832.57,0.84992,0.1,1.166666667
-3.825,0.85,1831.939,1832.02,0.85013,0.1,1.166666667
-3.776,0.85,1831.455,1832.02,0.8503,0.1,1.166666667
-3.726,0.85,1830.948,1832.02,0.85035,0.1,1.166666667
-3.676,0.85,1830.455,1831.31,0.85039,0.1,1.166666667
-3.625,0.85,1830.039,1831.31,0.85026,0.1,1.166666667
-3.575,0.85,1829.655,1830.43,0.85022,0.1,1.166666667
-3.528,0.85,1829.163,1829.88,0.85022,0.1,1.166666667
-3.478,0.85,1828.647,1829.27,0.85024,0.1,1.166666667
-3.426,0.85,1828.347,1829.27,0.8501,0.1,1.166666667
-3.374,0.85,1828.055,1829.27,0.84993,0.1,1.166666667
-3.324,0.85,1827.756,1829.27,0.84979,0.1,1.166666667
-3.274,0.85,1827.363,1827.41,0.84984,0.1,1.166666667
-3.225,0.85,1826.864,1827.08,0.85013,0.1,1.166666667
-3.175,0.85,1826.363,1826.58,0.85017,0.1,1.166666667
-3.125,0.85,1825.947,1826.58,0.85008,0.1,1.166666667
-3.078,0.85,1825.763,1826.58,0.84986,0.1,1.166666667
-3.027,0.85,1825.447,1825.43,0.84969,0.1,1.166666667
-2.978,0.85,1825.155,1825.43,0.84963,0.1,1.166666667
