攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-4,0.9,1986.707,1985.843,0.8998,0.2,1.166666667
-3.954,0.9,1986.507,1986.76,0.89998,0.2,1.166666667
-3.852,0.9,1986.258,1986.82,0.90016,0.2,1.166666667
-3.752,0.9,1985.396,1986.38,0.90013,0.2,1.166666667
-3.654,0.9,1984.214,1986.49,0.90039,0.2,1.166666667
-3.552,0.9,1983.014,1986.49,0.90048,0.2,1.166666667
-3.45,0.9,1981.896,1985.39,0.90061,0.2,1.166666667
-3.35,0.9,1980.414,1984.4,0.90096,0.2,1.166666667
-3.248,0.9,1978.914,1984.4,0.90132,0.2,1.166666667
-3.15,0.9,1977.514,1984.4,0.90153,0.2,1.166666667
-3.05,0.9,1976.114,1984.4,0.90159,0.2,1.166666667
-2.95,0.9,1974.814,1978.36,0.90167,0.2,1.166666667
-2.85,0.9,1973.756,1977.7,0.90154,0.2,1.166666667
-2.75,0.9,1973.168,1976.27,0.90132,0.2,1.166666667
-2.65,0.9,1972.668,1973.58,0.90102,0.2,1.166666667
-2.552,0.9,1972.18,1973.58,0.90073,0.2,1.166666667
-2.448,0.9,1971.756,1970.67,0.90047,0.2,1.166666667
-2.348,0.9,1971.556,1970.67,0.90013,0.2,1.166666667
-2.252,0.9,1971.355,1968.58,0.89973,0.2,1.166666667
-2.148,0.9,1971.256,1968.58,0.89942,0.2,1.166666667
-2.048,0.9,1971.056,1968.58,0.89919,0.2,1.166666667
-1.956,0.9,1970.856,1968.53,0.89901,0.2,1.166666667
-1.85,0.9,1970.622,1968.53,0.89894,0.2,1.166666667
-1.748,0.9,1970.422,1968.96,0.89907,0.2,1.166666667
-1.65,0.9,1970.016,1968.86,0.89931,0.2,1.166666667
-1.548,0.9,1969.622,1969.84,0.89952,0.2,1.166666667
-1.448,0.9,1969.116,1969.57,0.89965,0.2,1.166666667
-1.346,0.9,1968.71,1969.95,0.89982,0.2,1.166666667
-1.25,0.9,1968.316,1969.95,0.89994,0.2,1.166666667
-1.146,0.9,1967.91,1968.96,0.90006,0.2,1.166666667
-1.042,0.9,1967.41,1968.8,0.90028,0.2,1.166666667
-0.942,0.9,1966.722,1968.8,0.9004,0.2,1.166666667
-0.844,0.9,1966.452,1967.92,0.90041,0.2,1.166666667
-0.742,0.9,1966.25,1967.65,0.90037,0.2,1.166666667
-0.64,0.9,1966.152,1966.33,0.90029,0.2,1.166666667
-0.542,0.9,1966.052,1965.89,0.90027,0.2,1.166666667
-0.442,0.9,1965.852,1965.67,0.90024,0.2,1.166666667
-0.342,0.9,1965.856,1964.79,0.90019,0.2,1.166666667
-0.242,0.9,1965.856,1964.9,0.89999,0.2,1.166666667
-0.142,0.9,1966.056,1964.46,0.89984,0.2,1.166666667
-0.042,0.9,1966.152,1964.46,0.89976,0.2,1.166666667
0,0.9,1963.387,1962.236,0.89846,0.2,1.166666667
0.052,0.9,1966.154,1964.46,0.8997,0.2,1.166666667
0.062,0.9,1932.273,1990.11,0.91482,0.2,1.166666667
0.158,0.9,1966.176,1964.85,0.89972,0.2,1.166666667
0.254,0.9,1966.076,1964.79,0.89976,0.2,1.166666667
0.34,0.9,1936.474,1998.19,0.91421,0.2,1.166666667
0.358,0.9,1966.076,1964.63,0.89981,0.2,1.166666667
0.458,0.9,1966.076,1965.45,0.8998,0.2,1.166666667
0.558,0.9,1966.076,1965.28,0.89984,0.2,1.166666667
0.658,0.9,1966.076,1965.28,0.8999,0.2,1.166666667
0.756,0.9,1966.276,1965.56,0.89978,0.2,1.166666667
0.856,0.9,1966.276,1966,0.89976,0.2,1.166666667
0.924,0.9,1943.625,1998.19,0.91282,0.2,1.166666667
0.958,0.9,1966.276,1966.11,0.89977,0.2,1.166666667
1.052,0.9,1966.276,1965.89,0.89983,0.2,1.166666667
1.146,0.9,1966.236,1965.78,0.8999,0.2,1.166666667
1.25,0.9,1966.542,1965.78,0.90003,0.2,1.166666667
1.35,0.9,1966.842,1966.11,0.90002,0.2,1.166666667
1.452,0.9,1967.342,1966.82,0.89988,0.2,1.166666667
1.552,0.9,1967.53,1966.82,0.89985,0.2,1.166666667
1.652,0.9,1967.942,1966.82,0.89988,0.2,1.166666667
1.688,0.9,1954.204,2011.54,0.91104,0.2,1.166666667
1.752,0.9,1968.242,1966.71,0.89984,0.2,1.166666667
1.852,0.9,1968.642,1967.59,0.89976,0.2,1.166666667
1.952,0.9,1969.036,1967.32,0.89982,0.2,1.166666667
2.05,0.9,1969.442,1968.09,0.89971,0.2,1.166666667
2.152,0.9,1969.99,1968.03,0.89964,0.2,1.166666667
2.248,0.9,1970.702,1969.24,0.89956,0.2,1.166666667
2.354,0.9,1971.39,1969.24,0.89962,0.2,1.166666667
2.45,0.9,1971.89,1969.24,0.89973,0.2,1.166666667
2.554,0.9,1972.602,1970.72,0.89971,0.2,1.166666667
2.654,0.9,1973.29,1971.16,0.89965,0.2,1.166666667
2.664,0.9,1967.503,2022.3,0.90904,0.2,1.166666667
2.75,0.9,1974.102,1971.16,0.89957,0.2,1.166666667
2.848,0.9,1974.491,1971.16,0.89976,0.2,1.166666667
2.952,0.9,1975.102,1971.16,0.89987,0.2,1.166666667
3.05,0.9,1975.502,1973.96,0.90002,0.2,1.166666667
3.156,0.9,1976.032,1975.45,0.9001,0.2,1.166666667
3.252,0.9,1976.651,1975.67,0.90026,0.2,1.166666667
3.352,0.9,1977.368,1975.67,0.90045,0.2,1.166666667
3.448,0.9,1978.068,1977.37,0.90053,0.2,1.166666667
3.552,0.9,1978.631,1977.2,0.9006,0.2,1.166666667
3.65,0.9,1979.467,1977.2,0.90064,0.2,1.166666667
3.684,0.9,1979.105,2022.3,0.90727,0.2,1.166666667
3.752,0.9,1980.267,1978.58,0.90058,0.2,1.166666667
3.858,0.9,1981.05,1978.58,0.90059,0.2,1.166666667
3.954,0.9,1981.868,1979.62,0.90054,0.2,1.166666667
4.058,0.9,1982.668,1980.89,0.90059,0.2,1.166666667
4.15,0.9,1983.432,1981.54,0.90063,0.2,1.166666667
4.254,0.9,1984.232,1981.54,0.90052,0.2,1.166666667
4.354,0.9,1984.848,1981.54,0.90052,0.2,1.166666667
4.45,0.9,1985.633,1981.54,0.90059,0.2,1.166666667
4.556,0.9,1986.232,1981.54,0.90061,0.2,1.166666667
4.656,0.9,1986.932,1984.68,0.90058,0.2,1.166666667
4.684,0.9,1990.304,2026.59,0.90567,0.2,1.166666667
4.754,0.9,1987.531,1985.61,0.90054,0.2,1.166666667
4.852,0.9,1988.132,1986.98,0.9006,0.2,1.166666667
4.958,0.9,1988.848,1987.7,0.90058,0.2,1.166666667
5.056,0.9,1989.633,1987.7,0.90061,0.2,1.166666667
5.156,0.9,1990.432,1988.58,0.90037,0.2,1.166666667
5.252,0.9,1991.516,1990.22,0.90015,0.2,1.166666667
5.354,0.9,1992.548,1990.22,0.89992,0.2,1.166666667
5.452,0.9,1993.748,1990.99,0.8997,0.2,1.166666667
5.552,0.9,1994.948,1992.09,0.89946,0.2,1.166666667
5.654,0.9,1995.948,1992.09,0.89936,0.2,1.166666667
5.664,0.9,1999.844,2030.32,0.90446,0.2,1.166666667
5.752,0.9,1996.748,1994.4,0.89949,0.2,1.166666667
5.858,0.9,1997.448,1994.67,0.89956,0.2,1.166666667
5.958,0.9,1998.348,1996.71,0.89957,0.2,1.166666667
6.058,0.9,1999.431,1996.71,0.89934,0.2,1.166666667
6.154,0.9,2000.614,1996.71,0.8992,0.2,1.166666667
6.258,0.9,2001.628,1999.78,0.89908,0.2,1.166666667
6.352,0.9,2002.314,2000.39,0.89922,0.2,1.166666667
6.45,0.9,2002.942,2000.39,0.89934,0.2,1.166666667
6.55,0.9,2004.028,2002.69,0.8993,0.2,1.166666667
6.65,0.9,2004.914,2003.57,0.89911,0.2,1.166666667
6.684,0.9,2008.552,2032.19,0.90354,0.2,1.166666667
6.752,0.9,2005.929,2003.57,0.89904,0.2,1.166666667
6.852,0.9,2007.128,2005.33,0.89886,0.2,1.166666667
6.952,0.9,2008.028,2005.33,0.89891,0.2,1.166666667
7.05,0.9,2008.728,2005.33,0.89898,0.2,1.166666667
7.152,0.9,2009.528,2007.64,0.89896,0.2,1.166666667
7.256,0.9,2010.428,2009.01,0.89917,0.2,1.166666667
7.348,0.9,2011.128,2009.23,0.89926,0.2,1.166666667
7.458,0.9,2011.728,2010,0.8994,0.2,1.166666667
7.552,0.9,2012.228,2010,0.89968,0.2,1.166666667
7.652,0.9,2012.728,2012.36,0.89991,0.2,1.166666667
7.664,0.9,2018.507,2032.19,0.90288,0.2,1.166666667
7.752,0.9,2013.514,2012.36,0.89976,0.2,1.166666667
7.854,0.9,2014.628,2012.36,0.89946,0.2,1.166666667
7.96,0.9,2015.868,2014.67,0.89932,0.2,1.166666667
8.06,0.9,2016.368,2014.61,0.89956,0.2,1.166666667
8.152,0.9,2016.887,2015.99,0.89968,0.2,1.166666667
8.25,0.9,2018.167,2016.54,0.89957,0.2,1.166666667
8.35,0.9,2019.368,2016.54,0.89952,0.2,1.166666667
8.446,0.9,2020.288,2017.63,0.89962,0.2,1.166666667
8.548,0.9,2020.968,2018.62,0.89994,0.2,1.166666667
8.565,0.9,2025.345,2031.59,0.90228,0.2,1.166666667
8.652,0.9,2021.988,2019.12,0.89987,0.2,1.166666667
8.752,0.9,2022.868,2019.12,0.89993,0.2,1.166666667
8.856,0.9,2023.788,2021.37,0.90013,0.2,1.166666667
8.952,0.9,2024.488,2022.91,0.90032,0.2,1.166666667
9.056,0.9,2025.288,2022.91,0.90046,0.2,1.166666667
9.158,0.9,2025.968,2024.34,0.90063,0.2,1.166666667
9.252,0.9,2026.567,2025.98,0.90071,0.2,1.166666667
9.272,0.9,2029.375,2032.3,0.90189,0.2,1.166666667
9.352,0.9,2027.368,2026.59,0.90065,0.2,1.166666667
9.454,0.9,2027.968,2026.59,0.90079,0.2,1.166666667
9.558,0.9,2028.468,2027.03,0.90102,0.2,1.166666667
9.658,0.9,2028.768,2028.07,0.90125,0.2,1.166666667
9.746,0.9,2031.033,2031.92,0.90161,0.2,1.166666667
9.758,0.9,2029.568,2028.07,0.90125,0.2,1.166666667
9.856,0.9,2030.068,2029.28,0.90127,0.2,1.166666667
9.954,0.9,2030.567,2029.28,0.90144,0.2,1.166666667
9.97,0.9,2031.601,2030.87,0.90146,0.2,1.166666667
10,0.9,2031.05,2030.87,0.90146,0.2,1.166666667
