攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-5,0.75,1692.808,1692.105,0.74953,0.1,1
-4.979,0.75,1693.1,1693.26,0.74992,0.1,1
-4.931,0.75,1693.098,1692.82,0.75,0.1,1
-4.878,0.75,1692.791,1692.71,0.74991,0.1,1
-4.829,0.75,1692.503,1692.6,0.74992,0.1,1
-4.779,0.75,1692.097,1692.77,0.75017,0.1,1
-4.729,0.75,1691.697,1692.55,0.75031,0.1,1
-4.678,0.75,1691.198,1692.55,0.75047,0.1,1
-4.627,0.75,1690.703,1692.11,0.75069,0.1,1
-4.577,0.75,1690.203,1691.56,0.75083,0.1,1
-4.527,0.75,1689.691,1691.56,0.75089,0.1,1
-4.475,0.75,1689.303,1690.68,0.75073,0.1,1
-4.426,0.75,1688.891,1690.68,0.75081,0.1,1
-4.377,0.75,1688.297,1690.68,0.75102,0.1,1
-4.327,0.75,1687.797,1688.87,0.75105,0.1,1
-4.276,0.75,1687.397,1688.87,0.751,0.1,1
-4.228,0.75,1687.009,1687.55,0.75084,0.1,1
-4.175,0.75,1686.71,1687.33,0.75062,0.1,1
-4.128,0.75,1686.303,1687.33,0.75061,0.1,1
-4.075,0.75,1685.697,1686.56,0.75081,0.1,1
-4.026,0.75,1685.198,1685.74,0.75101,0.1,1
-3.977,0.75,1684.697,1685.02,0.75105,0.1,1
-3.927,0.75,1684.287,1685.02,0.7508,0.1,1
-3.876,0.75,1683.944,1684.09,0.75067,0.1,1
-3.824,0.75,1683.601,1683.49,0.75042,0.1,1
-3.782,0.75,1683.314,1683.49,0.75024,0.1,1
-3.729,0.75,1683.064,1683.16,0.74999,0.1,1
-3.681,0.75,1682.707,1682.66,0.7501,0.1,1
-3.63,0.75,1682.256,1682.66,0.75016,0.1,1
-3.581,0.75,1681.814,1682.33,0.75043,0.1,1
-3.53,0.75,1681.35,1682.33,0.75047,0.1,1
-3.48,0.75,1680.8,1681.51,0.75054,0.1,1
-3.429,0.75,1680.264,1681.01,0.75071,0.1,1
-3.379,0.75,1679.837,1681.01,0.75054,0.1,1
-3.329,0.75,1679.487,1680.3,0.75032,0.1,1
-3.279,0.75,1679.144,1680.3,0.75028,0.1,1
-3.227,0.75,1678.694,1680.3,0.75036,0.1,1
-3.178,0.75,1678.13,1678.76,0.75048,0.1,1
-3.129,0.75,1677.794,1678.49,0.75035,0.1,1
-3.079,0.75,1677.437,1677.94,0.75023,0.1,1
-3.026,0.75,1677.194,1677.61,0.7501,0.1,1
-2.979,0.75,1677.014,1677.61,0.74994,0.1,1
-2.929,0.75,1676.658,1677.61,0.74984,0.1,1
-2.879,0.75,1676.457,1676.56,0.74992,0.1,1
-2.829,0.75,1676.258,1675.58,0.74991,0.1,1
-2.78,0.75,1676.117,1675.85,0.74987,0.1,1
-2.729,0.75,1676.021,1675.63,0.74969,0.1,1
-2.677,0.75,1675.917,1675.36,0.74972,0.1,1
-2.631,0.75,1675.817,1675.36,0.74961,0.1,1
-2.577,0.75,1675.761,1675.36,0.74958,0.1,1
-2.53,0.75,1675.521,1675.36,0.74965,0.1,1
-2.479,0.75,1675.317,1675.36,0.74971,0.1,1
-2.427,0.75,1675.018,1675.68,0.7499,0.1,1
-2.377,0.75,1674.821,1675.08,0.75006,0.1,1
-2.33,0.75,1674.522,1675.08,0.75023,0.1,1
-2.278,0.75,1674.221,1675.08,0.75026,0.1,1
-2.228,0.75,1673.922,1674.86,0.75036,0.1,1
-2.177,0.75,1673.617,1674.86,0.75036,0.1,1
-2.127,0.75,1673.313,1673.87,0.75051,0.1,1
-2.079,0.75,1673.113,1673.87,0.75038,0.1,1
-2.029,0.75,1672.921,1673.27,0.75023,0.1,1
-1.979,0.75,1672.817,1672.55,0.74996,0.1,1
-1.927,0.75,1672.621,1672.55,0.74992,0.1,1
-1.879,0.75,1672.671,1672.55,0.74975,0.1,1
-1.828,0.75,1672.521,1672.06,0.74979,0.1,1
-1.778,0.75,1672.399,1672.06,0.74985,0.1,1
