攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-5,1.05,2134.181,2133.271,1.04999,0.1,1.166666667
-4.967,1.05,2135.081,2133.65,1.04956,0.1,1.166666667
-4.916,1.05,2134.92,2134.64,1.04972,0.1,1.166666667
-4.867,1.05,2134.138,2134.64,1.04986,0.1,1.166666667
-4.816,1.05,2133.568,2135.63,1.05013,0.1,1.166666667
-4.766,1.05,2132.458,2135.85,1.05035,0.1,1.166666667
-4.717,1.05,2131.688,2134.97,1.0506,0.1,1.166666667
-4.666,1.05,2130.588,2134.47,1.05082,0.1,1.166666667
-4.615,1.05,2129.708,2133.43,1.0511,0.1,1.166666667
-4.565,1.05,2128.618,2133.43,1.05133,0.1,1.166666667
-4.515,1.05,2127.617,2133.43,1.05144,0.1,1.166666667
-4.465,1.05,2126.818,2130.02,1.05149,0.1,1.166666667
-4.414,1.05,2126.138,2128.16,1.05148,0.1,1.166666667
-4.367,1.05,2125.667,2127.06,1.05133,0.1,1.166666667
-4.316,1.05,2125.148,2127.06,1.05113,0.1,1.166666667
-4.267,1.05,2124.878,2127.06,1.05093,0.1,1.166666667
-4.217,1.05,2124.568,2123.27,1.05069,0.1,1.166666667
-4.166,1.05,2124.508,2122.72,1.05044,0.1,1.166666667
-4.117,1.05,2124.117,2122.72,1.05038,0.1,1.166666667
-4.065,1.05,2123.628,2122.94,1.05029,0.1,1.166666667
-4.015,1.05,2123.237,2121.51,1.05023,0.1,1.166666667
-3.964,1.05,2122.848,2121.4,1.0502,0.1,1.166666667
-3.915,1.05,2122.232,2121.4,1.05019,0.1,1.166666667
-3.865,1.05,2121.807,2122.22,1.05021,0.1,1.166666667
-3.815,1.05,2121.082,2122.22,1.05028,0.1,1.166666667
-3.766,1.05,2120.278,2121.29,1.05041,0.1,1.166666667
-3.716,1.05,2119.542,2121.13,1.05054,0.1,1.166666667
-3.666,1.05,2118.728,2121.13,1.05067,0.1,1.166666667
-3.615,1.05,2117.692,2121.13,1.05085,0.1,1.166666667
-3.566,1.05,2117.056,2119.75,1.05081,0.1,1.166666667
-3.517,1.05,2116.631,2119.75,1.05069,0.1,1.166666667
-3.465,1.05,2116.317,2117.39,1.05044,0.1,1.166666667
-3.421,1.05,2115.882,2117.01,1.05041,0.1,1.166666667
-3.365,1.05,2115.467,2116.02,1.05031,0.1,1.166666667
-3.342,1.05,2115.341,2116.02,1.05016,0.1,1.166666667
-3.265,1.05,2114.938,2114.64,1.05005,0.1,1.166666667
