攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-5,0.85,1843.663,1843.866,0.85012,0.2,1.166666667
-4.998,0.85,1843.843,1843.45,0.84982,0.2,1.166666667
-4.92,0.85,1843.843,1843.45,0.84988,0.2,1.166666667
-4.824,0.85,1843.671,1843.23,0.84995,0.2,1.166666667
-4.722,0.85,1842.75,1843.23,0.85008,0.2,1.166666667
-4.622,0.85,1841.75,1843.5,0.85018,0.2,1.166666667
-4.522,0.85,1840.65,1843.23,0.85041,0.2,1.166666667
-4.424,0.85,1839.532,1843.23,0.85055,0.2,1.166666667
-4.322,0.85,1838.35,1843.23,0.85095,0.2,1.166666667
-4.22,0.85,1836.832,1840.7,0.85158,0.2,1.166666667
-4.122,0.85,1835.35,1840.7,0.85193,0.2,1.166666667
-4.022,0.85,1833.652,1840.7,0.85215,0.2,1.166666667
-3.92,0.85,1832.27,1837.13,0.85223,0.2,1.166666667
-3.826,0.85,1830.996,1834.38,0.85217,0.2,1.166666667
-3.722,0.85,1829.828,1834.38,0.852,0.2,1.166666667
-3.626,0.85,1828.796,1834.38,0.85176,0.2,1.166666667
-3.52,0.85,1827.796,1828.78,0.8515,0.2,1.166666667
-3.418,0.85,1827.029,1828.18,0.85106,0.2,1.166666667
-3.322,0.85,1826.328,1825.92,0.85062,0.2,1.166666667
-3.224,0.85,1825.712,1824.44,0.85012,0.2,1.166666667
-3.12,0.85,1825.127,1824.44,0.84978,0.2,1.166666667
-3.024,0.85,1824.528,1822.85,0.8497,0.2,1.166666667
-2.926,0.85,1823.828,1822.52,0.84953,0.2,1.166666667
-2.822,0.85,1823.432,1822.52,0.8493,0.2,1.166666667
-2.718,0.85,1823.132,1821.75,0.84924,0.2,1.166666667
-2.626,0.85,1822.832,1821.69,0.84919,0.2,1.166666667
-2.524,0.85,1822.422,1821.69,0.84924,0.2,1.166666667
-2.424,0.85,1822.022,1821.69,0.84925,0.2,1.166666667
-2.32,0.85,1821.742,1821.53,0.84934,0.2,1.166666667
-2.224,0.85,1821.242,1821.42,0.84942,0.2,1.166666667
-2.12,0.85,1820.743,1821.42,0.84957,0.2,1.166666667
-2.02,0.85,1820.242,1821.03,0.84971,0.2,1.166666667
-1.918,0.85,1819.742,1821.03,0.84974,0.2,1.166666667
-1.82,0.85,1819.318,1820.43,0.84991,0.2,1.166666667
-1.72,0.85,1818.918,1820.43,0.85011,0.2,1.166666667
-1.626,0.85,1818.518,1820.43,0.85016,0.2,1.166666667
-1.528,0.85,1818.178,1820.43,0.85027,0.2,1.166666667
-1.426,0.85,1817.866,1818.34,0.85025,0.2,1.166666667
-1.326,0.85,1817.472,1817.52,0.8502,0.2,1.166666667
-1.222,0.85,1817.166,1816.97,0.85013,0.2,1.166666667
-1.124,0.85,1816.866,1816.97,0.85015,0.2,1.166666667
-1.026,0.85,1816.572,1816.97,0.85018,0.2,1.166666667
-0.922,0.85,1816.172,1816.97,0.85028,0.2,1.166666667
-0.824,0.85,1815.89,1815.71,0.85019,0.2,1.166666667
-0.726,0.85,1815.594,1815.49,0.85015,0.2,1.166666667
-0.622,0.85,1815.398,1815.38,0.85011,0.2,1.166666667
-0.524,0.85,1815.19,1814.94,0.85018,0.2,1.166666667
-0.426,0.85,1814.994,1814.83,0.85001,0.2,1.166666667
-0.324,0.85,1814.898,1814.83,0.8499,0.2,1.166666667
-0.222,0.85,1814.794,1814.55,0.84984,0.2,1.166666667
-0.126,0.85,1814.69,1814.22,0.84973,0.2,1.166666667
-0.022,0.85,1814.594,1814.06,0.84956,0.2,1.166666667
0.08,0.85,1814.59,1814.06,0.84949,0.2,1.166666667
0.178,0.85,1814.648,1814.06,0.84938,0.2,1.166666667
0.274,0.85,1814.95,1813.95,0.84926,0.2,1.166666667
0.378,0.85,1815.249,1813.95,0.84921,0.2,1.166666667
0.476,0.85,1815.55,1813.95,0.84904,0.2,1.166666667
0.576,0.85,1815.849,1813.95,0.849,0.2,1.166666667
0.676,0.85,1816.149,1814.44,0.84916,0.2,1.166666667
0.776,0.85,1816.248,1814.44,0.84939,0.2,1.166666667
0.876,0.85,1816.348,1814.88,0.84953,0.2,1.166666667
0.976,0.85,1816.352,1814.88,0.84972,0.2,1.166666667
1.08,0.85,1816.466,1814.88,0.84986,0.2,1.166666667
1.174,0.85,1816.643,1816.36,0.84994,0.2,1.166666667
1.28,0.85,1816.855,1816.53,0.85007,0.2,1.166666667
1.378,0.85,1817.055,1816.53,0.85017,0.2,1.166666667
1.478,0.85,1817.349,1816.53,0.85028,0.2,1.166666667
1.58,0.85,1817.449,1816.97,0.85034,0.2,1.166666667
1.678,0.85,1817.749,1817.3,0.85038,0.2,1.166666667
1.782,0.85,1817.948,1817.3,0.85035,0.2,1.166666667
1.878,0.85,1818.143,1817.3,0.85032,0.2,1.166666667
1.98,0.85,1818.449,1817.68,0.85029,0.2,1.166666667
2.074,0.85,1818.649,1817.96,0.85031,0.2,1.166666667
2.18,0.85,1818.955,1817.96,0.85022,0.2,1.166666667
2.278,0.85,1819.254,1818.4,0.8502,0.2,1.166666667
2.378,0.85,1819.548,1818.56,0.85011,0.2,1.166666667
2.472,0.85,1819.795,1818.89,0.85008,0.2,1.166666667
2.582,0.85,1819.963,1818.89,0.85007,0.2,1.166666667
2.68,0.85,1820.275,1819.28,0.85003,0.2,1.166666667
2.78,0.85,1820.743,1819.39,0.85,0.2,1.166666667
2.88,0.85,1821.055,1820.05,0.84997,0.2,1.166666667
2.98,0.85,1821.455,1820.05,0.8499,0.2,1.166666667
3.08,0.85,1821.855,1820.87,0.84988,0.2,1.166666667
3.178,0.85,1822.393,1821.25,0.84969,0.2,1.166666667
3.278,0.85,1823.307,1821.64,0.84941,0.2,1.166666667
3.382,0.85,1824.192,1821.64,0.84937,0.2,1.166666667
3.48,0.85,1824.992,1822.35,0.84944,0.2,1.166666667
3.582,0.85,1825.792,1822.52,0.84939,0.2,1.166666667
3.68,0.85,1826.707,1822.52,0.8494,0.2,1.166666667
3.78,0.85,1827.479,1825.04,0.8493,0.2,1.166666667
3.884,0.85,1828.278,1825.04,0.84942,0.2,1.166666667
3.978,0.85,1828.978,1825.04,0.84966,0.2,1.166666667
4.082,0.85,1829.706,1827.3,0.84972,0.2,1.166666667
4.18,0.85,1830.293,1828.83,0.84988,0.2,1.166666667
4.28,0.85,1830.907,1828.83,0.85004,0.2,1.166666667
4.382,0.85,1831.706,1830.54,0.84997,0.2,1.166666667
4.482,0.85,1832.407,1831.14,0.84998,0.2,1.166666667
4.58,0.85,1833.092,1832.08,0.84995,0.2,1.166666667
4.682,0.85,1833.779,1832.57,0.84996,0.2,1.166666667
4.78,0.85,1834.52,1832.57,0.84995,0.2,1.166666667
4.88,0.85,1835.12,1834.05,0.85004,0.2,1.166666667
4.982,0.85,1835.807,1834.77,0.85013,0.2,1.166666667
5.072,0.85,1836.492,1834.77,0.85013,0.2,1.166666667
5.17,0.85,1837.187,1835.87,0.85012,0.2,1.166666667
5.28,0.85,1837.807,1836.03,0.85003,0.2,1.166666667
5.382,0.85,1838.887,1836.03,0.8499,0.2,1.166666667
5.478,0.85,1840.286,1837.35,0.85,0.2,1.166666667
5.578,0.85,1841.306,1838.45,0.84993,0.2,1.166666667
5.68,0.85,1842.406,1839.6,0.84991,0.2,1.166666667
5.78,0.85,1843.627,1840.26,0.84968,0.2,1.166666667
5.88,0.85,1844.727,1841.14,0.84961,0.2,1.166666667
5.98,0.85,1845.728,1841.96,0.84968,0.2,1.166666667
6.08,0.85,1846.728,1841.96,0.84986,0.2,1.166666667
6.18,0.85,1847.548,1841.96,0.84989,0.2,1.166666667
6.28,0.85,1848.549,1846.36,0.84995,0.2,1.166666667
6.378,0.85,1849.384,1846.36,0.85007,0.2,1.166666667
6.478,0.85,1850.184,1849.05,0.85029,0.2,1.166666667
6.582,0.85,1850.767,1850.09,0.85058,0.2,1.166666667
6.68,0.85,1851.267,1850.09,0.85084,0.2,1.166666667
6.78,0.85,1851.885,1851.85,0.85108,0.2,1.166666667
6.88,0.85,1852.684,1852.45,0.8509,0.2,1.166666667
6.978,0.85,1853.485,1852.78,0.85085,0.2,1.166666667
7.078,0.85,1854.285,1852.78,0.85063,0.2,1.166666667
7.178,0.85,1854.941,1852.78,0.85065,0.2,1.166666667
7.278,0.85,1855.441,1854.49,0.85068,0.2,1.166666667
7.378,0.85,1855.952,1855.26,0.85057,0.2,1.166666667
7.482,0.85,1856.541,1855.48,0.85056,0.2,1.166666667
7.578,0.85,1856.941,1856.14,0.85055,0.2,1.166666667
7.682,0.85,1857.428,1856.41,0.8505,0.2,1.166666667
7.78,0.85,1858.141,1856.41,0.85017,0.2,1.166666667
7.88,0.85,1858.829,1857.56,0.84999,0.2,1.166666667
7.974,0.85,1859.533,1857.56,0.84963,0.2,1.166666667
8.07,0.85,1860.533,1857.56,0.8492,0.2,1.166666667
8.174,0.85,1861.532,1857.56,0.84887,0.2,1.166666667
8.27,0.85,1862.532,1859.54,0.84852,0.2,1.166666667
8.372,0.85,1863.521,1860.91,0.84844,0.2,1.166666667
8.47,0.85,1864.433,1862.23,0.84849,0.2,1.166666667
8.572,0.85,1865.221,1862.23,0.84864,0.2,1.166666667
8.67,0.85,1866.033,1864.1,0.84873,0.2,1.166666667
8.772,0.85,1866.821,1864.7,0.84885,0.2,1.166666667
8.872,0.85,1867.533,1864.7,0.84907,0.2,1.166666667
8.974,0.85,1868.021,1866.63,0.84937,0.2,1.166666667
9.078,0.85,1868.745,1866.63,0.84946,0.2,1.166666667
9.178,0.85,1869.233,1869.04,0.84969,0.2,1.166666667
9.278,0.85,1869.833,1869.04,0.84988,0.2,1.166666667
9.376,0.85,1870.421,1870.14,0.84986,0.2,1.166666667
9.478,0.85,1871.033,1870.14,0.85008,0.2,1.166666667
9.574,0.85,1871.421,1870.97,0.85023,0.2,1.166666667
9.676,0.85,1871.833,1871.3,0.8505,0.2,1.166666667
9.776,0.85,1872.333,1871.3,0.85039,0.2,1.166666667
9.874,0.85,1873.021,1871.3,0.85038,0.2,1.166666667
9.974,0.85,1873.409,1873.05,0.85028,0.2,1.166666667
10,0.85,1873.245,1874.098,0.85088,0.2,1.166666667
