攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-5,0.8,1767.561,1767.72,0.80015,0.2,1
-4.992,0.8,1767.175,1767.42,0.80027,0.2,1
-4.906,0.8,1767.175,1767.42,0.80021,0.2,1
-4.804,0.8,1767.076,1767.15,0.79986,0.2,1
-4.704,0.8,1766.492,1767.04,0.79975,0.2,1
-4.602,0.8,1765.765,1767.04,0.79988,0.2,1
-4.502,0.8,1764.878,1767.04,0.80029,0.2,1
-4.402,0.8,1763.993,1766.21,0.80053,0.2,1
-4.302,0.8,1763.093,1766.21,0.80057,0.2,1
-4.204,0.8,1762.193,1766.21,0.80071,0.2,1
-4.106,0.8,1761.264,1764.4,0.80086,0.2,1
-4.006,0.8,1760.265,1762.86,0.80109,0.2,1
-3.906,0.8,1759.179,1762.48,0.80135,0.2,1
-3.802,0.8,1758.017,1761.54,0.80155,0.2,1
-3.7,0.8,1756.816,1759.4,0.80174,0.2,1
-3.602,0.8,1755.633,1758.3,0.80174,0.2,1
-3.502,0.8,1754.473,1758.3,0.80148,0.2,1
-3.404,0.8,1753.357,1755.06,0.80137,0.2,1
-3.304,0.8,1752.633,1754.68,0.80117,0.2,1
-3.206,0.8,1751.733,1754.68,0.80093,0.2,1
-3.108,0.8,1750.917,1754.68,0.80069,0.2,1
-3.008,0.8,1750.133,1754.68,0.80049,0.2,1
-2.906,0.8,1749.433,1749.62,0.80017,0.2,1
-2.802,0.8,1748.806,1748.25,0.79996,0.2,1
-2.702,0.8,1748.407,1747.76,0.79972,0.2,1
-2.598,0.8,1748.107,1747.76,0.79956,0.2,1
-2.502,0.8,1747.797,1746.88,0.79938,0.2,1
-2.404,0.8,1747.486,1746.88,0.79922,0.2,1
-2.302,0.8,1747.297,1746.88,0.79903,0.2,1
-2.202,0.8,1746.986,1745.78,0.79892,0.2,1
-2.104,0.8,1746.786,1745.61,0.79893,0.2,1
-2.004,0.8,1746.396,1745.56,0.79906,0.2,1
-1.902,0.8,1746.086,1745.56,0.79911,0.2,1
-1.798,0.8,1745.777,1745.5,0.79911,0.2,1
-1.7,0.8,1745.469,1745.5,0.7992,0.2,1
-1.6,0.8,1745.184,1745.5,0.79933,0.2,1
-1.504,0.8,1744.776,1745.06,0.79954,0.2,1
-1.402,0.8,1744.568,1745.17,0.7995,0.2,1
-1.304,0.8,1744.169,1745.17,0.79957,0.2,1
-1.204,0.8,1743.769,1744.68,0.79964,0.2,1
-1.1,0.8,1743.468,1744.68,0.79968,0.2,1
-1,0.8,1743.076,1744.68,0.79981,0.2,1
-0.902,0.8,1742.585,1743.14,0.79991,0.2,1
-0.802,0.8,1742.422,1743.14,0.80002,0.2,1
-0.698,0.8,1742.32,1742.7,0.80003,0.2,1
-0.6,0.8,1742.22,1742.37,0.79991,0.2,1
-0.5,0.8,1742.322,1742.37,0.79968,0.2,1
-0.404,0.8,1742.322,1741.44,0.79956,0.2,1
-0.304,0.8,1742.42,1741.38,0.79949,0.2,1
-0.202,0.8,1742.322,1741,0.79954,0.2,1
-0.102,0.8,1742.424,1741,0.79948,0.2,1
0,0.8,1742.424,1741.27,0.79935,0.2,1
0.094,0.8,1742.522,1741.27,0.79924,0.2,1
