攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-5,0.6,1423.912,1424.1,0.59988,0.2,1
-4.999,0.6,1423.962,1423.99,0.59992,0.2,1
-4.928,0.6,1423.862,1423.11,0.6,0.2,1
-4.828,0.6,1423.703,1423.11,0.60017,0.2,1
-4.728,0.6,1423.01,1423.11,0.60036,0.2,1
-4.63,0.6,1422.491,1423.11,0.6005,0.2,1
-4.53,0.6,1421.811,1423.11,0.60057,0.2,1
-4.43,0.6,1421.201,1423.11,0.60054,0.2,1
-4.334,0.6,1420.601,1422.29,0.60069,0.2,1
-4.23,0.6,1420.001,1421.85,0.60068,0.2,1
-4.134,0.6,1419.401,1421.85,0.60072,0.2,1
-4.028,0.6,1418.801,1421.08,0.60063,0.2,1
-3.928,0.6,1418.4,1419.04,0.60053,0.2,1
-3.826,0.6,1417.749,1419.15,0.6005,0.2,1
-3.728,0.6,1417.341,1418.55,0.6003,0.2,1
-3.628,0.6,1416.948,1417.34,0.6002,0.2,1
-3.526,0.6,1416.64,1416.9,0.60002,0.2,1
-3.434,0.6,1416.34,1416.68,0.59984,0.2,1
-3.33,0.6,1415.949,1415.25,0.59985,0.2,1
-3.224,0.6,1415.541,1415.31,0.59977,0.2,1
-3.128,0.6,1415.248,1415.31,0.59976,0.2,1
-3.034,0.6,1414.848,1415.31,0.59969,0.2,1
-2.932,0.6,1414.548,1415.31,0.59977,0.2,1
-2.83,0.6,1414.257,1413.72,0.59973,0.2,1
-2.734,0.6,1414.155,1413.28,0.59973,0.2,1
-2.628,0.6,1414.057,1413.17,0.59992,0.2,1
-2.528,0.6,1413.957,1413.83,0.5999,0.2,1
-2.43,0.6,1413.857,1413.17,0.59997,0.2,1
-2.334,0.6,1413.753,1413.17,0.60009,0.2,1
-2.228,0.6,1413.555,1413.17,0.60019,0.2,1
-2.134,0.6,1413.355,1413.33,0.60024,0.2,1
-2.03,0.6,1413.255,1413.55,0.60029,0.2,1
-1.928,0.6,1413.055,1413.55,0.60035,0.2,1
-1.828,0.6,1412.82,1413,0.60039,0.2,1
-1.734,0.6,1412.521,1413,0.60049,0.2,1
-1.632,0.6,1412.217,1413.11,0.60061,0.2,1
-1.532,0.6,1411.917,1413.06,0.60059,0.2,1
-1.426,0.6,1411.609,1413.06,0.60062,0.2,1
-1.332,0.6,1411.357,1411.52,0.60073,0.2,1
-1.232,0.6,1411.057,1411.46,0.60073,0.2,1
-1.134,0.6,1410.757,1411.46,0.60058,0.2,1
-1.028,0.6,1410.517,1411.19,0.60043,0.2,1
-0.928,0.6,1410.317,1411.19,0.60028,0.2,1
-0.83,0.6,1410.217,1410.69,0.60012,0.2,1
-0.734,0.6,1410.017,1410.2,0.60003,0.2,1
-0.63,0.6,1409.817,1410.2,0.59989,0.2,1
-0.53,0.6,1409.617,1410.2,0.59997,0.2,1
-0.43,0.6,1409.517,1408.66,0.59984,0.2,1
-0.338,0.6,1409.317,1409.49,0.59983,0.2,1
-0.23,0.6,1409.261,1409.1,0.59968,0.2,1
-0.132,0.6,1409.117,1408.33,0.59963,0.2,1
-0.032,0.6,1408.921,1408.61,0.59965,0.2,1
