攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-3.91,0.95,1977.291877,1976.44,0.94992,0.2,1.166666667
-3.81,0.95,1976.8823,1976.38,0.94997,0.2,1.166666667
-3.71,0.95,1975.447027,1976.38,0.95015,0.2,1.166666667
-3.61,0.95,1973.970248,1976.77,0.95052,0.2,1.166666667
-3.508,0.95,1972.391971,1976.6,0.95081,0.2,1.166666667
-3.408,0.95,1970.969879,1975.56,0.95096,0.2,1.166666667
-3.308,0.95,1969.747543,1975.56,0.95094,0.2,1.166666667
-3.208,0.95,1968.36938,1975.56,0.95113,0.2,1.166666667
-3.11,0.95,1967.092175,1975.56,0.95109,0.2,1.166666667
-3.012,0.95,1965.591797,1969.02,0.95125,0.2,1.166666667
-2.908,0.95,1964.169879,1969.02,0.95128,0.2,1.166666667
-2.812,0.95,1963.229549,1969.02,0.95111,0.2,1.166666667
-2.712,0.95,1962.729323,1969.02,0.95085,0.2,1.166666667
-2.608,0.95,1962.029257,1962.32,0.95071,0.2,1.166666667
-2.51,0.95,1961.329517,1960.78,0.95068,0.2,1.166666667
-2.41,0.95,1960.715363,1959.3,0.95051,0.2,1.166666667
-2.308,0.95,1960.329914,1959.3,0.95022,0.2,1.166666667
-2.212,0.95,1959.829275,1959.3,0.95002,0.2,1.166666667
-2.108,0.95,1959.429114,1957.54,0.94978,0.2,1.166666667
-2.01,0.95,1958.829245,1957.43,0.94976,0.2,1.166666667
-1.91,0.95,1958.130211,1957.43,0.94983,0.2,1.166666667
-1.81,0.95,1957.549716,1956.72,0.94986,0.2,1.166666667
-1.708,0.95,1957.057403,1956.72,0.9499,0.2,1.166666667
-1.608,0.95,1956.649276,1956.72,0.94998,0.2,1.166666667
-1.51,0.95,1956.141496,1956.44,0.95001,0.2,1.166666667
-1.41,0.95,1955.649571,1955.89,0.95007,0.2,1.166666667
-1.31,0.95,1955.149699,1955.89,0.95016,0.2,1.166666667
-1.212,0.95,1954.541564,1956.06,0.95026,0.2,1.166666667
-1.11,0.95,1954.049538,1956.06,0.95037,0.2,1.166666667
-1.01,0.95,1953.441412,1956.06,0.95048,0.2,1.166666667
-0.908,0.95,1952.849582,1954.19,0.95057,0.2,1.166666667
-0.812,0.95,1952.637526,1954.19,0.95051,0.2,1.166666667
-0.71,0.95,1952.641542,1954.19,0.95042,0.2,1.166666667
-0.608,0.95,1952.939513,1954.19,0.95035,0.2,1.166666667
-0.51,0.95,1952.93958,1951.55,0.95028,0.2,1.166666667
-0.41,0.95,1953.141595,1951.66,0.95027,0.2,1.166666667
-0.308,0.95,1953.339581,1951.66,0.95013,0.2,1.166666667
-0.21,0.95,1953.439512,1951.66,0.95008,0.2,1.166666667
-0.11,0.95,1953.539498,1951.39,0.95009,0.2,1.166666667
-0.008,0.95,1953.643541,1952.16,0.95005,0.2,1.166666667
0.09,0.95,1953.839594,1952.27,0.95012,0.2,1.166666667
0.19,0.95,1953.74161,1952.1,0.95022,0.2,1.166666667
0.29,0.95,1953.643572,1952.1,0.95031,0.2,1.166666667
0.39,0.95,1953.639529,1953.09,0.95038,0.2,1.166666667
0.49,0.95,1953.539528,1953.2,0.9505,0.2,1.166666667
0.59,0.95,1953.541589,1953.75,0.95051,0.2,1.166666667
0.69,0.95,1953.341582,1953.8,0.95066,0.2,1.166666667
0.796,0.95,1953.241604,1954.08,0.95075,0.2,1.166666667
0.898,0.95,1953.137558,1953.75,0.95076,0.2,1.166666667
0.996,0.95,1953.237562,1953.75,0.95071,0.2,1.166666667
1.096,0.95,1953.339491,1953.8,0.95064,0.2,1.166666667
1.196,0.95,1953.651111,1953.8,0.95052,0.2,1.166666667
1.296,0.95,1954.239875,1953.8,0.95051,0.2,1.166666667
1.394,0.95,1954.839503,1953.8,0.95042,0.2,1.166666667
1.496,0.95,1955.438979,1953.09,0.95037,0.2,1.166666667
1.598,0.95,1955.951013,1953.36,0.95037,0.2,1.166666667
1.694,0.95,1956.539639,1953.53,0.95036,0.2,1.166666667
1.794,0.95,1957.240196,1954.9,0.95023,0.2,1.166666667
1.894,0.95,1957.839576,1955.23,0.95024,0.2,1.166666667
1.994,0.95,1958.339185,1955.23,0.95032,0.2,1.166666667
2.092,0.95,1958.739253,1955.23,0.95041,0.2,1.166666667
2.194,0.95,1959.244062,1957.37,0.95061,0.2,1.166666667
2.292,0.95,1959.660019,1958.25,0.95078,0.2,1.166666667
2.396,0.95,1960.175639,1958.25,0.95092,0.2,1.166666667
2.494,0.95,1960.85966,1958.25,0.95089,0.2,1.166666667
2.592,0.95,1961.459411,1958.25,0.9509,0.2,1.166666667
2.694,0.95,1962.143704,1961.05,0.9509,0.2,1.166666667
2.788,0.95,1962.759546,1961.05,0.95093,0.2,1.166666667
2.992,0.95,1964.059908,1963.25,0.95097,0.2,1.166666667
3.092,0.95,1964.644042,1963.47,0.95094,0.2,1.166666667
3.186,0.95,1965.333569,1963.47,0.951,0.2,1.166666667
3.288,0.95,1965.947214,1963.47,0.95092,0.2,1.166666667
3.388,0.95,1966.519787,1965.01,0.95083,0.2,1.166666667
3.49,0.95,1967.333914,1965.72,0.95064,0.2,1.166666667
3.592,0.95,1968.219746,1966.38,0.95053,0.2,1.166666667
3.686,0.95,1968.919441,1966.38,0.95042,0.2,1.166666667
3.79,0.95,1969.619305,1967.7,0.95042,0.2,1.166666667
3.892,0.95,1970.11973,1967.98,0.95042,0.2,1.166666667
3.99,0.95,1970.719595,1968.8,0.9505,0.2,1.166666667
