攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-4.92,0.85,1843.843391,1843.45,0.84988,0.2,1.166666667
-4.824,0.85,1843.671288,1843.23,0.84995,0.2,1.166666667
-4.722,0.85,1842.750381,1843.23,0.85008,0.2,1.166666667
-4.622,0.85,1841.750376,1843.5,0.85018,0.2,1.166666667
-4.522,0.85,1840.650231,1843.23,0.85041,0.2,1.166666667
-4.424,0.85,1839.531761,1843.23,0.85055,0.2,1.166666667
-4.322,0.85,1838.34983,1843.23,0.85095,0.2,1.166666667
-4.22,0.85,1836.832164,1840.7,0.85158,0.2,1.166666667
-4.122,0.85,1835.350257,1840.7,0.85193,0.2,1.166666667
-4.022,0.85,1833.651975,1840.7,0.85215,0.2,1.166666667
-3.92,0.85,1832.269712,1837.13,0.85223,0.2,1.166666667
-3.826,0.85,1830.996017,1834.38,0.85217,0.2,1.166666667
-3.722,0.85,1829.82794,1834.38,0.852,0.2,1.166666667
-3.626,0.85,1828.795995,1834.38,0.85176,0.2,1.166666667
-3.52,0.85,1827.795506,1828.78,0.8515,0.2,1.166666667
-3.418,0.85,1827.028633,1828.18,0.85106,0.2,1.166666667
-3.322,0.85,1826.328326,1825.92,0.85062,0.2,1.166666667
-3.224,0.85,1825.712371,1824.44,0.85012,0.2,1.166666667
-3.12,0.85,1825.127354,1824.44,0.84978,0.2,1.166666667
-3.024,0.85,1824.527886,1822.85,0.8497,0.2,1.166666667
-2.926,0.85,1823.828235,1822.52,0.84953,0.2,1.166666667
-2.822,0.85,1823.432245,1822.52,0.8493,0.2,1.166666667
-2.718,0.85,1823.132255,1821.75,0.84924,0.2,1.166666667
-2.626,0.85,1822.832006,1821.69,0.84919,0.2,1.166666667
-2.524,0.85,1822.422146,1821.69,0.84924,0.2,1.166666667
-2.424,0.85,1822.022064,1821.69,0.84925,0.2,1.166666667
-2.32,0.85,1821.742425,1821.53,0.84934,0.2,1.166666667
-2.224,0.85,1821.242354,1821.42,0.84942,0.2,1.166666667
-2.12,0.85,1820.742503,1821.42,0.84957,0.2,1.166666667
-2.02,0.85,1820.242074,1821.03,0.84971,0.2,1.166666667
-1.918,0.85,1819.741955,1821.03,0.84974,0.2,1.166666667
-1.82,0.85,1819.318052,1820.43,0.84991,0.2,1.166666667
-1.72,0.85,1818.918357,1820.43,0.85011,0.2,1.166666667
-1.626,0.85,1818.518193,1820.43,0.85016,0.2,1.166666667
-1.528,0.85,1818.178462,1820.43,0.85027,0.2,1.166666667
-1.426,0.85,1817.866354,1818.34,0.85025,0.2,1.166666667
-1.326,0.85,1817.472385,1817.52,0.8502,0.2,1.166666667
-1.222,0.85,1817.166379,1816.97,0.85013,0.2,1.166666667
-1.124,0.85,1816.866319,1816.97,0.85015,0.2,1.166666667
-1.026,0.85,1816.572131,1816.97,0.85018,0.2,1.166666667
-0.922,0.85,1816.172307,1816.97,0.85028,0.2,1.166666667
-0.824,0.85,1815.890404,1815.71,0.85019,0.2,1.166666667
-0.726,0.85,1815.5944,1815.49,0.85015,0.2,1.166666667
-0.622,0.85,1815.398284,1815.38,0.85011,0.2,1.166666667
-0.524,0.85,1815.190338,1814.94,0.85018,0.2,1.166666667
-0.426,0.85,1814.994308,1814.83,0.85001,0.2,1.166666667
-0.324,0.85,1814.89842,1814.83,0.8499,0.2,1.166666667
-0.222,0.85,1814.7944,1814.55,0.84984,0.2,1.166666667
-0.126,0.85,1814.690428,1814.22,0.84973,0.2,1.166666667
-0.022,0.85,1814.594155,1814.06,0.84956,0.2,1.166666667
0.08,0.85,1814.590244,1814.06,0.84949,0.2,1.166666667
0.178,0.85,1814.648489,1814.06,0.84938,0.2,1.166666667
0.274,0.85,1814.950459,1813.95,0.84926,0.2,1.166666667
0.378,0.85,1815.248504,1813.95,0.84921,0.2,1.166666667
0.476,0.85,1815.55048,1813.95,0.84904,0.2,1.166666667
