攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-4,0.95,1977.017,1976.78,0.95008,0.2,1.166666667
-3.993,0.95,1977.392,1976.55,0.94985,0.2,1.166666667
0,0.95,1918.449,1947.457,0.95799,0.2,1.166666667
0.019,0.95,1919.715,1982.09,0.9665,0.2,1.166666667
0.21,0.95,1924.025,1984.73,0.96559,0.2,1.166666667
0.663,0.95,1932.944,2003.13,0.96412,0.2,1.166666667
1.358,0.95,1944.766,2003.13,0.96226,0.2,1.166666667
2.264,0.95,1956.026,2006.48,0.96015,0.2,1.166666667
2.892,0.95,1963.475,1961.88,0.95101,0.2,1.166666667
3.284,0.95,1968.646,2022.03,0.95811,0.2,1.166666667
4.284,0.95,1980.565,2022.03,0.95637,0.2,1.166666667
5.304,0.95,1990.646,2022.03,0.95484,0.2,1.166666667
6.284,0.95,2000.012,2024.39,0.95394,0.2,1.166666667
7.284,0.95,2009.237,2026.75,0.95341,0.2,1.166666667
8.264,0.95,2016.652,2026.75,0.95316,0.2,1.166666667
9.054,0.95,2021.84,2026.86,0.95292,0.2,1.166666667
9.647,0.95,2024.332,2026.64,0.95273,0.2,1.166666667
9.929,0.95,2025.351,2024.94,0.95233,0.2,1.166666667
9.98,0.95,2025.179,2021.86,0.95144,0.2,1.166666667
10,0.95,2025.28,2024.94,0.95199,0.2,1.166666667
