攻角,MA,目标转速,实际转速,实际MA,角速度,截面积
-5,0.7,1673.336,1673.533,0.70012,0.2,1
-4.946,0.7,1673.253,1672.99,0.7002,0.2,1
0,0.7,1653.637,1651.978,0.6995,0.2,1
0.076,0.7,1644.274,1662.67,0.70796,0.2,1
0.399,0.7,1646.415,1668.98,0.70947,0.2,1
0.965,0.7,1649.524,1677.44,0.70995,0.2,1
1.706,0.7,1653.082,1679.69,0.70958,0.2,1
2.664,0.7,1659.462,1686.45,0.70857,0.2,1
3.684,0.7,1666.662,1691.67,0.70671,0.2,1
4.664,0.7,1672.662,1695.24,0.70474,0.2,1
5.664,0.7,1680.421,1696.28,0.70259,0.2,1
6.684,0.7,1686.421,1696.89,0.70078,0.2,1
7.252,0.7,1679.305,1677.17,0.69891,0.2,1
7.35,0.7,1680.217,1677.17,0.69884,0.2,1
7.45,0.7,1681.305,1677.33,0.69853,0.2,1
7.552,0.7,1682.405,1678.21,0.69832,0.2,1
7.648,0.7,1683.517,1678.21,0.69827,0.2,1
7.684,0.7,1692.321,1696.89,0.69936,0.2,1
8.703,0.7,1696.552,1695.41,0.6987,0.2,1
9.615,0.7,1698.018,1695.41,0.69835,0.2,1
10.365,0.7,1697.618,1695.41,0.69833,0.2,1
10.786,0.7,1697.118,1695.35,0.69854,0.2,1
10.981,0.7,1696.618,1695.73,0.69881,0.2,1
11,0.7,1696.218,1696.01,0.69912,0.2,1
